Rank,College_Name,Location
188,Kerala University of Health Sciences,Thrissur
189,"National Institute of Technology, Kurukshetra",Kurukshetra
190,Dibrugarh University,Dibrugarh
191,Padmashree Dr. D.Y. Patil Vidyapith,Navi Mumbai
192,The LNM Institute of Information Technology,Jaipur
193,National Institute of Educational Planning and Administration,New Delhi
194,All India Institute of Medical Sciences Jodhpur,Jodhpur
195,Dr. B. R. Ambedkar University Delhi,New Delhi
196,National Forensic Sciences University,Gandhinagar
197,Veer Narmad South Gujarat University,Surat
198,Dr. Babasaheb Ambedkar Technological University,Lonere
199,Karunya Institute of Technology and Sciences,Coimbatore
200,Galgotias University,Noida
201,University of Kalyani,Kalyani
202,All India Institute of Medical Sciences Raipur,Raipur
203,"Indian Institute of Science Education and Research, Mohali",Mohali
204,REVA University,Bangalore
205,Mahatma Gandhi Kashi Vidyapeeth,Varanasi
206,M.J.P. Rohilkhand University,Bareilly
207,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad
208,All India Institute of Medical Sciences Rishikesh,Rishikesh
209,"Maharishi Markandeshwar University, Mullana",Mullana
210,"University of Engineering and Management, Kolkata",Kolkata
211,Vidyasagar University,Midnapore
212,Sardar Patel University,Vallabh Vidyanagar
213,Gokhale Institute of Politics and Economics,Pune
214,Swami Vivekanand Subharti University,Meerut
215,Shoolini University of Biotechnology and Management Sciences,Solan
216,Presidency University,Kolkata
217,University of North Bengal,Siliguri
218,Punjab Technical University,Kapurthala
219,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow
220,Gujarat Ayurved University,Jamnagar
221,Sri Ramachandra Institute of Higher Education and Research,Chennai
222,Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur
223,Manonmaniam Sundaranar University,Tirunelveli
224,"National Institute of Technology, Hamirpur",Hamirpur
225,Acharya Nagarjuna University,Guntur
226,All India Institute of Medical Sciences Bhopal,Bhopal
227,Govind Ballabh Pant University of Agriculture and Technology,Pantnagar
228,"National Institute of Technology, Patna",Patna
229,Jiwaji University,Gwalior
230,Garden City University,Bangalore
231,Kavayitri Bahinabai Chaudhari North Maharashtra University,Jalgaon
232,Indian Institute of Information Technology and Management Gwalior,Gwalior
233,VIT Bhopal University,Bhopal
234,Baba Saheb Ambedkar Education University,Kolkata
235,Brainware University,Barasat
236,"National Institute of Technology, Raipur",Raipur
237,Jaypee University of Information Technology,Waknaghat
238,Assam University,Silchar
239,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur
240,Jaypee Institute of Information Technology,Noida
241,Sant Gadge Baba Amravati University,Amravati
242,Biju Patnaik University of Technology,Rourkela
243,DAV University,Jalandhar
244,"PDPM Indian Institute of Information Technology, Design and Manufacturing",Jabalpur
245,Mangalayatan University,Aligarh
246,Al-Falah University,Faridabad
247,Institute of Chemical Technology,Mumbai
248,XIM University,Harirajpur
249,Mangalore University,Mangalore
250,Punjab Engineering College,Chandigarh
251,International Institute for Population Sciences,Mumbai
252,Yenepoya University,Mangalore
253,Dr. Bhimrao Ambedkar University,Agra
254,"University of Agricultural Sciences, Bangalore",Bangalore
255,Hindustan Institute of Technology and Science,Chennai
256,Sikkim Manipal University,Gangtok
257,"Indian Institute of Information Technology, Design and Manufacturing",Chennai
258,Siksha 'O' Anusandhan,Bhubaneswar
259,Acharya N.G. Ranga Agricultural University,Hyderabad
260,Barkatullah University,Bhopal
261,Maulana Azad National Urdu University,Hyderabad
262,Utkal University,Bhubaneswar
263,University of Jammu,Jammu
264,Anand Agricultural University,Anand
265,Baba Farid University of Health Sciences,Faridkot
266,Atal Bihari Vajpayee Vishwavidyalaya,Bilaspur
267,ITM University Raipur,Raipur
268,The English and Foreign Languages University,Hyderabad
269,Rajiv Gandhi University,Itanagar
270,Sree Chitra Thirunal Institute of Medical Sciences and Technology,Thiruvananthapuram
271,JSS Academy of Higher Education and Research,Mysore
272,Rajasthan University of Veterinary and Animal Sciences,Bikaner
273,Periyar University,Salem
274,Tamil Nadu Veterinary and Animal Sciences University,Chennai
275,Guru Ghasidas Vishwavidyalaya,Bilaspur
276,Sambalpur University,Burla
277,Assam Agricultural University,Jorhat
278,Pandit Deendayal Energy University,Gandhinagar
279,Assam Don Bosco University,Guwahati
280,Nalanda University,Rajgir
281,Mizoram University,Aizawl
282,Swami Ramanand Teerth Marathwada University,Nanded
283,Manav Rachna University,Faridabad
284,Marwadi University,Rajkot
285,Prof. Rajendra Singh Rajju Bhaiya University,Allahabad
286,Uttarakhand Technical University,Dehradun
287,Srimanta Sankaradeva University of Health Sciences,Guwahati
288,Jaipur National University,Jaipur
289,Rabindra Bharati University,Kolkata
290,Kuvempu University,Shimoga
291,All India Institute of Medical Sciences Bhubaneswar,Bhubaneswar
292,Veer Bahadur Singh Purvanchal University,Jaunpur
293,Suresh Gyan Vihar University,Jaipur
294,Gujarat National Law University,Gandhinagar
295,Dayalbagh Educational Institute,Agra
296,Indian Veterinary Research Institute,Bareilly
297,Manipur University,Imphal
298,Veer Surendra Sai University of Technology,Sambalpur
299,Central University of Rajasthan,Ajmer
300,Central University of Punjab,Bathinda
301,Integral University,Lucknow
302,NIIT University,Neemrana
303,Central University of Tamil Nadu,Thiruvarur
304,Rajiv Gandhi Institute of Petroleum Technology,Raebareli
305,Quantum University,Roorkee
306,Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,Bhopal
307,"National Institute of Technology, Srinagar",Srinagar
308,Dr. Harisingh Gour Vishwavidyalaya Sagar,Sagar
309,Medi-Caps University,Indore
310,Bharath Institute of Higher Education and Research,Chennai
311,"National Law University, Jodhpur",Jodhpur
312,Central University of Jharkhand,Ranchi
313,The West Bengal National University of Juridical Sciences,Kolkata
314,National Law Institute University,Bhopal
315,Ranchi University,Ranchi
316,"School of Planning and Architecture, Delhi",New Delhi
317,Banasthali Vidyapith,Banasthali
318,Rajasthan Technical University Kota,Kota
319,Ramaiah University of Applied Sciences,Bangalore
320,Bangalore University,Bangalore
321,Gautam Buddha University,Greater Noida
322,Shreemati Nathibai Damodar Thackersey Women's University,Mumbai
323,Kumaun University,Nainital
324,"National Institute of Technology, Meghalaya",Shillong
325,Dayananda Sagar University,Bangalore
326,Tripura University,Agartala
327,Rani Durgavati Vishwavidyalaya,Jabalpur
328,Sikkim University,Tadong
329,Sage University,Indore
330,Tamil Nadu Teacher Education University,Chennai
331,TERI School of Advanced Studies,New Delhi
